,Sequencing_ID,Country,Source,Strain,Facility,Population,Collection_date,Sample_type,Preservative,Preservation time of faecal sample,Animal_ID,Birthdate,Body_mass_g,Sex,Health_status,Sample used in cross-sectional lab vs wild analyses,"Sample used in longitudinal, microbiota distance-based lab vs wild analyses","Sample used in longitudinal, ASV retention lab vs wild analyses",Sample used in mainland vs island analyses,Sample used in sample preservative analyses,Sample used in faecal sample exposure analyses
Sample1,Sample1,UK,Wild,NA,NA,Skokholm,22/09/2019,Faeces,Shield,18:12:08,SK0111,NA,23.1,Female,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Sample12,Sample12,UK,Wild,NA,NA,Skokholm,01/05/2019,Faeces,Shield,NA,SK0009,NA,21.9,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample13,Sample13,UK,Wild,NA,NA,Skokholm,16/09/2020,Faeces,Shield,NA,SK0273,NA,26.2,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample16,Sample16,UK,Wild,NA,NA,Isle_of_May,02/10/2018,Faeces,No preservative,NA,Sample16,NA,23,Male,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample17,Sample17,UK,Wild,NA,NA,Skokholm,17/07/2019,Faeces,Shield,NA,SK0045,NA,18.3,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample18,Sample18,UK,Wild,NA,NA,Skokholm,14/07/2019,Faeces,Shield,NA,SK0036,NA,26.3,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample19,Sample19,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,17:04:32,SK0078,NA,25.7,Male,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Sample191,Sample191,UK,Wild,NA,NA,Skokholm,18/09/2019,Faeces,DNA/RNA Shield,NA,X041A556CB0,NA,27.2,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample192,Sample192,UK,Wild,NA,NA,Skokholm,15/07/2019,Faeces,RNAlater,NA,SK0027,NA,30.1,Male,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample193,Sample193,UK,Wild,NA,NA,Skokholm,16/07/2019,Faeces,DNA/RNA Shield,NA,SK0022,NA,22.5,Female,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
